cycle,pc_f,fetch0,fetch1,decode0,decode1,issue0,issue1,exec0,exec1,result0,result1,branch_taken0,branch_taken1,jump_taken0,jump_taken1,branch_target0,branch_target1,jump_target0,jump_target1,mem0_re,mem0_we,mem1_re,mem1_we,mem_addr0,mem_addr1,fwd_rs1_0_en,fwd_rs2_0_en,fwd_rs1_1_src,fwd_rs2_1_src,stall_if_id,busy_vec,load_pending_vec
41,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
42,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
43,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
44,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
45,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
46,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
47,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
48,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
49,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
50,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
51,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
52,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
53,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
54,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
